Order ID,First Name,Last Name,Full Name,Age,Gender,Address,Order Total,Ordered Date,Returned,Email
1020251201,Martin,Hudson,Martin Hudson,30,Male,"TX, USA",9000,12/13/2025,Yes,martin.hudson@gmail.com
1020251202,Sara,Marine,Sara Marine,28,Female,"CA, USA",2000,12/7/2025,No,sara_marine@gmail.com
1020251209,Samantha,Doe,Samantha Doe,31,Female,"NY, USA",6800,12/12/2025,No,samantha_d@gmail.com
1020251204,Kevin,Elevin,Kevin Elevin,27,Male,"NY, USA",16000,11/29/2025,No,kevin_el@gmail.com
1020251205,Thomas,Tenision,Thomas Tenision,32,Male,"CA, USA",7000,11/28/2025,Yes,tenisionthomas@gmail.com
1020251206,Camelia,Byers,Camelia Byers,35,Female,"CA, USA",800,11/30/2025,Yes,camelia.byers@yahoo.com
1020251207,Jonathan,Brown,Jonathan Brown,26,Male,"NJ, USA",1200,12/13/2025,No,john.brown@yahoo.com
1020251208,Mickael,Stanley,Mickael Stanley,32,Male,"NJ, USA",6000,12/7/2025,No,mickael.stanly@gmail.com
1020251209,Samantha,Doe,Samantha Doe,31,Female,"NY, USA",6800,12/12/2025,No,samantha_d@gmail.com
1020251210,Michael,More,Michael More,28,Male,"TX, USA",7200,12/3/2025,Yes,michaelmore@yahoo.com
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,, ,,,,,,,
,,, ,,,,,,,
