Order ID,First Name,Last Name,Full Name,Age,Gender,Address,Order Total,Ordered Date,Returned,Email,MAX,MIN,IF (age),IFS (return status),LEN (user full name),LEFT (gender),RIGHT (order ID),TEXT (date),CONCATENATE (order ID and Address),SUBSTITUTE (date) 
1020251201,Martin,Hudson,Martin Hudson,30,Male,"TX, USA",9000,12/13/2025,Yes,martin.hudson@gmail.com,16000,800,Young,Customer Not Satisfied,13,M,201,13/12/2025,"1020251201 - TX, USA",12.13.2025
1020251202,Sara,Marine,Sara Marine,28,Female,"CA, USA",2000,12/07/2025,No,sara_marine@gmail.com,1020251210,1020251201,Young,Customer Satisfied,11,F,202,07/12/2025,"1020251202 - CA, USA",12.07.2025
1020251209,Samantha,Doe,Samantha Doe,31,Female,"NY, USA",6800,12/12/2025,No,samantha_d@gmail.com,35,26,Old,Customer Satisfied,12,F,209,12/12/2025,"1020251209 - NY, USA",12.12.2025
1020251204,Kevin,Elevin,Kevin Elevin,27,Male,"NY, USA",16000,11/29/2025,No,kevin_el@gmail.com,,,Young,Customer Satisfied,12,M,204,29/11/2025,"1020251204 - NY, USA",11.29.2025
1020251205,Thomas,Tenision,Thomas Tenision,32,Male,"CA, USA",7000,11/28/2025,Yes,tenisionthomas@gmail.com,,,Old,Customer Not Satisfied,15,M,205,28/11/2025,"1020251205 - CA, USA",11.28.2025
1020251206,Camelia,Byers,Camelia Byers,35,Female,"CA, USA",800,11/30/2025,Yes,camelia.byers@yahoo.com,,,Old,Customer Not Satisfied,13,F,206,30/11/2025,"1020251206 - CA, USA",11.30.2025
1020251207,Jonathan,Brown,Jonathan Brown,26,Male,"NJ, USA",1200,12/13/2025,No,john.brown@yahoo.com,,,Young,Customer Satisfied,14,M,207,13/12/2025,"1020251207 - NJ, USA",12.13.2025
1020251208,Mickael,Stanley,Mickael Stanley,32,Male,"NJ, USA",6000,12/07/2025,No,mickael.stanly@gmail.com,,,Old,Customer Satisfied,15,M,208,07/12/2025,"1020251208 - NJ, USA",12.07.2025
1020251209,Samantha,Doe,Samantha Doe,31,Female,"NY, USA",6800,12/12/2025,No,samantha_d@gmail.com,,,Old,Customer Satisfied,12,F,209,12/12/2025,"1020251209 - NY, USA",12.12.2025
1020251210,Michael,More,Michael More,28,Male,"TX, USA",7200,12/03/2025,Yes,michaelmore@yahoo.com,,,Young,Customer Not Satisfied,12,M,210,03/12/2025,"1020251210 - TX, USA",12.03.2025
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,SUM IFS (order total with No return status from selected area),,,,SUM IF (order total range),,COUNT IF (order total),,
,,,,,,,,,,,,29600,,,,58800,,3,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,COUNT IFS (returned orders less than age 30),,
,,,,,,,,,,,,,,,,,,1,,
